rank,name,family,status,tier,tier_name,IS_Sharpe,N_trials,OOS_Sharpe,blind_OOS_DSR,OOS_trades,net_3x_cost_SR,PBO,description,why_it_died
13,Shipping import-volume to equity,Alt-data,FUNDING-GRADE,2,FUNDING-GRADE,0.340,15,,0.037,0,,,Import-volume cross-sectional equity alpha,"Best research artifact: in-sample DSR 0.77 deflating 15 trials, REAL. Dies live on three walls — no free firm-level import data, per-name IC 0.020 holds ~4 names at retail size, and after 50% decay plus cost the live edge is ~2.4%/yr, DSR 0.037."
14,FX strength + trend,FX,CLOSED,3,OVERFIT,0.313,1680,-0.169,0.033,1121,-0.310,,Currency-strength ranking plus trend,Selection luck — the median in-sample config is already negative; OOS -0.17.
15,Month-end FX flow,Flow,PAPER ONLY,2,FUNDING-GRADE,0.898,24,-0.112,0.021,90,-0.472,,Month-end FX rebalancing flow,"Faithful rebuild reproduces +9bp full-sample, but post-2019 OOS Sharpe -0.11 — the literature arbitraged it away. A paper bot is kept as zero-risk forward evidence only."
16,Pension-rebalance reversal,Flow,CLOSED,2,FUNDING-GRADE,0.594,405,0.066,0.016,90,-0.073,,Month-end pension-rebalance reversal,Real ~10bp/event but CFD cost plus financing kills it; even at futures cost it is sub-gate (DSR 0.040).
17,Intraday mean-reversion pairs,Stat-arb,CLOSED,4,DEAD,5.468,7060,-0.544,0.015,304,-0.980,,Intraday M5 OU pairs,"In-sample 5.47 is pure overfit, OOS -0.54. This family is 7x-confirmed dead; M5 is the worst, cost-dead timeframe."
18,COT positioning,Flow,CLOSED,3,OVERFIT,0.390,648,-0.247,0.005,477,-0.645,,Commitments-of-Traders flow continuation,In-sample 0.39 inverts to OOS -0.25. FX flows are published-null; the levels signal is a momentum costume.
19,Equity low-vol,Equity factor,CLOSED,1,BETA MIRAGE,0.691,288,0.694,0.003,388,0.660,,Low-volatility / low-beta tilt,Unhedged low-beta is just equity beta on a survivorship panel; DSR 0.003.
20,Forecast-to-fill,ML,CLOSED,3,OVERFIT,0.748,10371,-0.192,0.0023,1492,-0.403,,"CDF-trend blend, 10k-trial search","In-sample 0.75 to OOS -0.19. 10,371 trials = overfit noise."
21,Academic factor zoo,Academic,CLOSED,3,OVERFIT,2.283,2436,0.030,0.0004,72,-2.537,,Open-source asset-pricing long/short series,"Untradeable academic long/short series; in-sample 2.28 overfit to OOS ~0, negative at cost."
22,Oil inventory surprise,Event,CLOSED,2,FUNDING-GRADE,1.080,144,0.366,0.0001,144,-0.729,,Weekly oil-inventory surprise,Real +4bp/event gross but the front contract REVERSES post-print (registered trial -9.25bp at 3.2 sigma); DSR ~0, negative at 3x cost.
23,Cross-sectional value,Slow factor,CLOSED,4,DEAD,,4050,,0.0001,0,,,Price-proxy AND fundamental FX value,"Both forms fail (canonical Sharpe -0.46, DSR 0.0001). 5/5 slow-factor families now dead."
24,VWAP intraday,Intraday,CLOSED,3,OVERFIT,-0.622,384,-0.803,0.0,2331,-2.625,,Intraday VWAP-reversion multibot,"Gross edge < costs intraday; negative even in-sample. 2,331 trades bleed spread."
25,News sentiment,Event,CLOSED,3,OVERFIT,1.454,960,-0.062,0.0,309,-1.088,,Cached headline-sentiment signal,"REAL feed, but in-sample 1.45 to OOS -0.06; the direction is wrong out of sample."
26,Liquidity-adjusted momentum,Intraday,CLOSED,3,OVERFIT,0.372,2304,-0.644,0.0,1608,-2.113,,Liquidity-adjusted intraday momentum,Reduces to intraday momentum plus stop/target; dies hard net of cost (-0.64 OOS).
27,Order-flow + DeepLOB,Microstructure,CLOSED,3,OVERFIT,10.810,1152,12.690,0.0,2264,-14.630,,Order-flow imbalance + deep limit-order-book net,"REAL exchange LOB, but order-flow is trend not contrarian; +1.3bp/trade dies at 3x cost to -14.6. DSR 0 vs selection-max 0.78."
28,Session clock,Intraday,CLOSED,3,OVERFIT,2.646,2673,-1.982,0.0,1995,-5.553,,Intraday time-of-day seasonality,In-sample 2.65 INVERTS to OOS -1.98. Pure overfit.
29,Directional-change overlay,Intraday,CLOSED,3,OVERFIT,0.510,1440,-0.266,0.0,100,-0.329,,Directional-change / overshoot continuation,In-sample 0.51 sign-flips to OOS -0.27.
30,Jump momentum,Event,CLOSED,3,OVERFIT,0.425,1050,0.032,0.0,140,0.004,,FX post-jump continuation,"Placebo INVERTED — post-jump FX is reversal, not continuation. In-sample 0.42 to OOS ~0."
31,Macro surprise (aggressive),Event,CLOSED,3,OVERFIT,0.969,768,0.210,0.0,29,-0.367,,Surprise continuation with aggressive threshold,"OOS n=29 < 50 (fails min-trades), DSR 0, placebo-equivalent."
32,Auction-cycle reversal,Event,CLOSED,2,FUNDING-GRADE,0.103,16,0.049,0.0,89,-0.460,,Government-bond auction reversal,"Real post-leg reversal +11.9bp gross to +0.58bp net, below the cost bar; negative at 3x cost."
33,Post-earnings drift,Equity event,FUNDING-GRADE,2,FUNDING-GRADE,,0,,0.0,0,,,Post-earnings-announcement drift,Census NO-GO even at institutional size: effect-size death — you need ~1.5%/qtr and modern drift is 0-0.3%. Power is fine (N=269k); the edge itself has decayed.
34,Crowd-platform LGBM (off-gate),Platform,EXPLORE,3,OVERFIT,1.290,1,,,0,,,Generic gradient-boosted model on a crowd platform,"CORR-Sharpe 1.29 is trivially cheap, but the meta-model contribution metric is ~0/negative for crowd-like models. Off the firm gate; strongest no-capital route as a track-record asset."
